equipment_id,vibration_mean,vibration_std,vibration_max,vibration_min,temperature_mean,temperature_std,temperature_max,temperature_min,pressure_mean,pressure_std,pressure_max,pressure_min,current_mean,current_std,current_max,current_min,rpm_mean,rpm_std,rpm_max,rpm_min,tool_wear_mean,tool_wear_std,tool_wear_max,tool_wear_min,production_rate_mean,production_rate_std,production_rate_max,production_rate_min,ambient_temperature_mean,ambient_temperature_std,ambient_temperature_max,ambient_temperature_min,ambient_humidity_mean,ambient_humidity_std,ambient_humidity_max,ambient_humidity_min
Machine_14860,2.9810000000000003,,2.9810000000000003,2.9810000000000003,308.6,,308.6,308.6,155.1,,155.1,155.1,42.8,,42.8,42.8,1551.0,,1551.0,1551.0,0.0,,0.0,0.0,86.1700488532583,,86.1700488532583,86.1700488532583,33.76075158814571,,33.76075158814571,33.76075158814571,72.26532503439788,,72.26532503439788,72.26532503439788
Machine_L47181,2.9819999999999998,,2.9819999999999998,2.9819999999999998,308.7,,308.7,308.7,140.8,,140.8,140.8,46.3,,46.3,46.3,1408.0,,1408.0,1408.0,3.0,,3.0,3.0,99.99889695276732,,99.99889695276732,99.99889695276732,27.434061915909606,,27.434061915909606,27.434061915909606,40.50509650962023,,40.50509650962023,40.50509650962023
Machine_L47182,2.9810000000000003,,2.9810000000000003,2.9810000000000003,308.5,,308.5,308.5,149.8,,149.8,149.8,49.4,,49.4,49.4,1498.0,,1498.0,1498.0,5.0,,5.0,5.0,84.24704059132254,,84.24704059132254,84.24704059132254,21.955836103604966,,21.955836103604966,21.955836103604966,50.818048685804314,,50.818048685804314,50.818048685804314
Machine_L47183,2.9819999999999998,,2.9819999999999998,2.9819999999999998,308.6,,308.6,308.6,143.3,,143.3,143.3,39.5,,39.5,39.5,1433.0,,1433.0,1433.0,7.0,,7.0,7.0,82.09504701764003,,82.09504701764003,82.09504701764003,21.009036068144717,,21.009036068144717,21.009036068144717,52.456935042107034,,52.456935042107034,52.456935042107034
Machine_L47184,2.9819999999999998,,2.9819999999999998,2.9819999999999998,308.7,,308.7,308.7,140.8,,140.8,140.8,40.0,,40.0,40.0,1408.0,,1408.0,1408.0,9.0,,9.0,9.0,98.46549120824804,,98.46549120824804,98.46549120824804,19.98555401741116,,19.98555401741116,19.98555401741116,32.51359927642921,,32.51359927642921,32.51359927642921
Machine_14865,2.9810000000000003,,2.9810000000000003,2.9810000000000003,308.6,,308.6,308.6,142.5,,142.5,142.5,41.9,,41.9,41.9,1425.0,,1425.0,1425.0,11.0,,11.0,11.0,89.97392096794655,,89.97392096794655,89.97392096794655,20.91618403085581,,20.91618403085581,20.91618403085581,56.931926575049985,,56.931926575049985,56.931926575049985
Machine_L47186,2.9810000000000003,,2.9810000000000003,2.9810000000000003,308.6,,308.6,308.6,155.8,,155.8,155.8,42.4,,42.4,42.4,1558.0,,1558.0,1558.0,14.0,,14.0,14.0,82.42214600169828,,82.42214600169828,82.42214600169828,26.61139941382621,,26.61139941382621,26.61139941382621,54.93384719443914,,54.93384719443914,54.93384719443914
Machine_L47187,2.9810000000000003,,2.9810000000000003,2.9810000000000003,308.6,,308.6,308.6,152.7,,152.7,152.7,40.2,,40.2,40.2,1527.0,,1527.0,1527.0,16.0,,16.0,16.0,94.48158512406928,,94.48158512406928,94.48158512406928,17.674032009455523,,17.674032009455523,17.674032009455523,34.41227746767084,,34.41227746767084,34.41227746767084
Machine_14868,2.983,,2.983,2.983,308.7,,308.7,308.7,166.7,,166.7,166.7,28.6,,28.6,28.6,1667.0,,1667.0,1667.0,18.0,,18.0,18.0,96.97479635599412,,96.97479635599412,96.97479635599412,32.844628000888676,,32.844628000888676,32.844628000888676,32.43348392123817,,32.43348392123817,32.43348392123817
Machine_14869,2.985,,2.985,2.985,309.0,,309.0,309.0,174.1,,174.1,174.1,28.0,,28.0,28.0,1741.0,,1741.0,1741.0,21.0,,21.0,21.0,87.22113652576112,,87.22113652576112,87.22113652576112,18.62403055941882,,18.62403055941882,18.62403055941882,60.551455617338476,,60.551455617338476,60.551455617338476
Machine_H29424,2.984,,2.984,2.984,308.9,,308.9,308.9,178.2,,178.2,178.2,23.9,,23.9,23.9,1782.0,,1782.0,1782.0,24.0,,24.0,24.0,82.27803129605748,,82.27803129605748,82.27803129605748,18.435180953557726,,18.435180953557726,18.435180953557726,31.88482121323874,,31.88482121323874,31.88482121323874
Machine_H29425,2.986,,2.986,2.986,309.1,,309.1,309.1,142.3,,142.3,142.3,44.3,,44.3,44.3,1423.0,,1423.0,1423.0,29.0,,29.0,29.0,85.9640669442625,,85.9640669442625,85.9640669442625,24.493312537245114,,24.493312537245114,24.493312537245114,72.00355890763464,,72.00355890763464,72.00355890763464
Machine_14872,2.986,,2.986,2.986,309.1,,309.1,309.1,133.9,,133.9,133.9,51.1,,51.1,51.1,1339.0,,1339.0,1339.0,34.0,,34.0,34.0,86.77372395896842,,86.77372395896842,86.77372395896842,26.90156032374771,,26.90156032374771,26.90156032374771,38.36094882024763,,38.36094882024763,38.36094882024763
Machine_14873,2.986,,2.986,2.986,309.2,,309.2,309.2,174.2,,174.2,174.2,30.0,,30.0,30.0,1742.0,,1742.0,1742.0,37.0,,37.0,37.0,97.53569036913726,,97.53569036913726,97.53569036913726,26.75010065887463,,26.75010065887463,26.75010065887463,55.85435622053407,,55.85435622053407,55.85435622053407
Machine_L47195,2.986,,2.986,2.986,309.2,,309.2,309.2,154.2,,154.2,154.2,48.4,,48.4,48.4,1542.0,,1542.0,1542.0,42.0,,42.0,42.0,85.9242776307462,,85.9242776307462,85.9242776307462,33.85322403478247,,33.85322403478247,33.85322403478247,44.87130731116125,,44.87130731116125,44.87130731116125
Machine_14876,2.986,,2.986,2.986,309.2,,309.2,309.2,131.1,,131.1,131.1,46.6,,46.6,46.6,1311.0,,1311.0,1311.0,44.0,,44.0,44.0,95.01797394930432,,95.01797394930432,95.01797394930432,25.73661613443838,,25.73661613443838,25.73661613443838,57.32782810532089,,57.32782810532089,57.32782810532089
Machine_14877,2.987,,2.987,2.987,309.2,,309.2,309.2,141.0,,141.0,141.0,45.6,,45.6,45.6,1410.0,,1410.0,1410.0,47.0,,47.0,47.0,89.10692110176551,,89.10692110176551,89.10692110176551,28.309534559752432,,28.309534559752432,28.309534559752432,68.6229143762179,,68.6229143762179,68.6229143762179
Machine_H29432,2.988,,2.988,2.988,309.2,,309.2,309.2,130.6,,130.6,130.6,54.5,,54.5,54.5,1306.0,,1306.0,1306.0,50.0,,50.0,50.0,93.04424770613747,,93.04424770613747,93.04424770613747,24.643445072535552,,24.643445072535552,24.643445072535552,39.67091846675896,,39.67091846675896,39.67091846675896
Machine_14879,2.989,,2.989,2.989,309.3,,309.3,309.3,163.2,,163.2,163.2,32.5,,32.5,32.5,1632.0,,1632.0,1632.0,55.0,,55.0,55.0,83.00109895615765,,83.00109895615765,83.00109895615765,22.746789619522477,,22.746789619522477,22.746789619522477,45.51179288402707,,45.51179288402707,45.51179288402707
Machine_H29434,2.989,,2.989,2.989,309.3,,309.3,309.3,137.5,,137.5,137.5,42.7,,42.7,42.7,1375.0,,1375.0,1375.0,58.0,,58.0,58.0,92.15763325889418,,92.15763325889418,92.15763325889418,20.51936034125064,,20.51936034125064,20.51936034125064,47.54056964431172,,47.54056964431172,47.54056964431172
Machine_L47201,2.988,,2.988,2.988,309.3,,309.3,309.3,145.0,,145.0,145.0,44.8,,44.8,44.8,1450.0,,1450.0,1450.0,63.0,,63.0,63.0,85.30697936571721,,85.30697936571721,85.30697936571721,30.408186911438605,,30.408186911438605,30.408186911438605,74.37188391919874,,74.37188391919874,74.37188391919874
Machine_14882,2.989,,2.989,2.989,309.3,,309.3,309.3,158.1,,158.1,158.1,30.7,,30.7,30.7,1581.0,,1581.0,1581.0,65.0,,65.0,65.0,94.12535420321673,,94.12535420321673,94.12535420321673,15.5186935472862,,15.5186935472862,15.5186935472862,60.23822337181235,,60.23822337181235,60.23822337181235
Machine_L47203,2.99,,2.99,2.99,309.4,,309.4,309.4,175.8,,175.8,175.8,25.7,,25.7,25.7,1758.0,,1758.0,1758.0,68.0,,68.0,68.0,95.7728089714059,,95.7728089714059,95.7728089714059,25.439692753507373,,25.439692753507373,25.439692753507373,57.217637578488805,,57.217637578488805,57.217637578488805
Machine_14884,2.99,,2.99,2.99,309.4,,309.4,309.4,156.1,,156.1,156.1,37.3,,37.3,37.3,1561.0,,1561.0,1561.0,70.0,,70.0,70.0,88.54718008214596,,88.54718008214596,88.54718008214596,21.36447535012133,,21.36447535012133,21.36447535012133,77.99903762428104,,77.99903762428104,77.99903762428104
Machine_L47205,2.99,,2.99,2.99,309.5,,309.5,309.5,186.1,,186.1,186.1,23.3,,23.3,23.3,1861.0,,1861.0,1861.0,73.0,,73.0,73.0,82.63352794958189,,82.63352794958189,82.63352794958189,23.786953735550803,,23.786953735550803,23.786953735550803,65.90233517835223,,65.90233517835223,65.90233517835223
Machine_L47206,2.991,,2.991,2.991,309.5,,309.5,309.5,151.2,,151.2,151.2,39.0,,39.0,39.0,1512.0,,1512.0,1512.0,75.0,,75.0,75.0,90.58593155981904,,90.58593155981904,90.58593155981904,34.43154909609284,,34.43154909609284,34.43154909609284,58.20843112364818,,58.20843112364818,58.20843112364818
Machine_H29441,2.991,,2.991,2.991,309.4,,309.4,309.4,181.1,,181.1,181.1,24.6,,24.6,24.6,1811.0,,1811.0,1811.0,77.0,,77.0,77.0,98.85469017994436,,98.85469017994436,98.85469017994436,21.54584437062499,,21.54584437062499,21.54584437062499,68.80784763517106,,68.80784763517106,68.80784763517106
Machine_L47208,2.991,,2.991,2.991,309.4,,309.4,309.4,143.9,,143.9,143.9,44.2,,44.2,44.2,1439.0,,1439.0,1439.0,82.0,,82.0,82.0,85.65110764866351,,85.65110764866351,85.65110764866351,31.476548719269097,,31.476548719269097,31.476548719269097,35.734045327389154,,35.734045327389154,35.734045327389154
Machine_L47209,2.99,,2.99,2.99,309.4,,309.4,309.4,169.3,,169.3,169.3,30.1,,30.1,30.1,1693.0,,1693.0,1693.0,84.0,,84.0,84.0,89.57826471414958,,89.57826471414958,89.57826471414958,25.203059686877474,,25.203059686877474,25.203059686877474,41.12153707742129,,41.12153707742129,41.12153707742129
Machine_14890,2.991,,2.991,2.991,309.5,,309.5,309.5,133.9,,133.9,133.9,48.2,,48.2,48.2,1339.0,,1339.0,1339.0,86.0,,86.0,86.0,89.909613522028,,89.909613522028,89.909613522028,20.03039049523991,,20.03039049523991,20.03039049523991,37.43539314534477,,37.43539314534477,37.43539314534477
