equipment_id,rul,failure_probability
Machine_14860,1000.0,0.95
Machine_L47181,985.0,0.95
Machine_L47182,975.0,0.95
Machine_L47183,965.0,0.95
Machine_L47184,955.0,0.95
Machine_14865,945.0,0.945
Machine_L47186,929.9999999999999,0.9299999999999999
Machine_L47187,920.0,0.92
Machine_14868,910.0,0.91
Machine_14869,895.0,0.895
Machine_H29424,880.0,0.88
Machine_H29425,855.0,0.855
Machine_14872,830.0,0.83
Machine_14873,815.0,0.815
Machine_L47195,790.0,0.79
Machine_14876,780.0,0.78
Machine_14877,765.0,0.765
Machine_H29432,750.0,0.75
Machine_14879,725.0,0.725
Machine_H29434,710.0,0.71
Machine_L47201,685.0,0.685
Machine_14882,675.0,0.675
Machine_L47203,659.9999999999999,0.6599999999999999
Machine_14884,650.0,0.65
Machine_L47205,635.0,0.635
Machine_L47206,625.0,0.625
Machine_H29441,615.0,0.615
Machine_L47208,590.0000000000001,0.5900000000000001
Machine_L47209,580.0000000000001,0.5800000000000001
Machine_14890,570.0000000000001,0.5700000000000001
Machine_L47211,554.9999999999999,0.5549999999999999
Machine_L47212,544.9999999999999,0.5449999999999999
Machine_L47213,534.9999999999999,0.5349999999999999
Machine_14894,525.0,0.525
Machine_14895,510.0,0.51
Machine_14896,495.0,0.495
Machine_L47217,480.0,0.48
Machine_H29452,470.0,0.47
Machine_L47219,444.99999999999994,0.44499999999999995
Machine_L47220,435.00000000000006,0.43500000000000005
Machine_L47221,425.00000000000006,0.42500000000000004
Machine_14902,415.00000000000006,0.41500000000000004
Machine_H29457,400.0,0.4
Machine_14904,375.0,0.375
Machine_L47225,360.0,0.36
Machine_14906,350.0,0.35
Machine_L47227,334.99999999999994,0.33499999999999996
Machine_H29462,324.99999999999994,0.32499999999999996
Machine_14909,300.00000000000006,0.30000000000000004
Machine_L47231,275.0,0.275
Machine_H29466,265.0,0.265
Machine_L47233,240.0,0.24
Machine_L47234,229.99999999999997,0.22999999999999998
Machine_L47235,219.99999999999997,0.21999999999999997
Machine_L47236,209.99999999999997,0.20999999999999996
Machine_L47237,199.99999999999994,0.19999999999999996
Machine_14918,189.99999999999994,0.18999999999999995
Machine_L47239,175.00000000000006,0.17500000000000004
Machine_L47240,165.00000000000003,0.16500000000000004
Machine_14921,155.00000000000003,0.15500000000000003
Machine_L47242,140.0,0.14
Machine_14923,130.0,0.13
Machine_L47244,114.99999999999999,0.11499999999999999
Machine_L47245,104.99999999999999,0.10499999999999998
Machine_14926,94.99999999999997,0.09499999999999997
Machine_H29481,79.99999999999996,0.07999999999999996
Machine_L47248,55.00000000000005,0.05500000000000005
Machine_L47249,45.00000000000004,0.04500000000000004
Machine_14930,35.00000000000003,0.03500000000000003
Machine_L47251,20.000000000000018,0.020000000000000018
Machine_L47252,10.000000000000009,0.010000000000000009
Machine_L47253,0.0,0.0
Machine_L47254,0.0,0.0
Machine_L47255,0.0,0.0
Machine_L47256,0.0,0.0
Machine_L47257,0.0,0.0
Machine_L47258,1000.0,0.95
Machine_L47259,990.0,0.95
Machine_H29494,980.0,0.95
Machine_L47261,955.0,0.95
Machine_L47262,945.0,0.945
Machine_L47263,935.0,0.935
Machine_L47264,925.0,0.925
Machine_14945,915.0,0.915
Machine_H29500,900.0,0.9
Machine_L47267,875.0,0.875
Machine_14948,865.0,0.865
Machine_14949,850.0,0.85
Machine_L47270,835.0,0.835
Machine_L47271,825.0,0.825
Machine_14952,815.0,0.815
Machine_L47273,800.0,0.8
Machine_L47274,790.0,0.79
Machine_14955,780.0,0.78
Machine_14956,765.0,0.765
Machine_14957,750.0,0.75
Machine_L47278,735.0,0.735
Machine_L47279,725.0,0.725
Machine_L47280,715.0000000000001,0.7150000000000001
Machine_L47282,695.0000000000001,0.6950000000000001
Machine_14963,685.0,0.685
Machine_L47284,669.9999999999999,0.6699999999999999
Machine_L47285,659.9999999999999,0.6599999999999999
Machine_L47286,650.0,0.65
Machine_14967,640.0,0.64
Machine_H29522,625.0,0.625
Machine_L47289,600.0,0.6
Machine_L47290,590.0000000000001,0.5900000000000001
Machine_H29525,580.0000000000001,0.5800000000000001
Machine_14972,554.9999999999999,0.5549999999999999
Machine_14973,540.0,0.54
Machine_L47294,525.0,0.525
Machine_L47295,515.0,0.515
Machine_L47296,505.0,0.505
Machine_L47297,495.0,0.495
Machine_14978,485.0,0.485
Machine_L47299,470.0,0.47
Machine_L47300,459.99999999999994,0.45999999999999996
Machine_L47301,449.99999999999994,0.44999999999999996
Machine_L47302,439.99999999999994,0.43999999999999995
Machine_L47303,430.00000000000006,0.43000000000000005
Machine_L47304,420.00000000000006,0.42000000000000004
Machine_L47305,410.00000000000006,0.41000000000000003
Machine_L47306,400.0,0.4
Machine_L47307,390.0,0.39
Machine_L47308,380.0,0.38
Machine_L47309,370.0,0.37
Machine_L47310,360.0,0.36
Machine_L47311,350.0,0.35
Machine_14992,339.99999999999994,0.33999999999999997
Machine_14993,324.99999999999994,0.32499999999999996
Machine_L47314,310.00000000000006,0.31000000000000005
Machine_14995,300.00000000000006,0.30000000000000004
Machine_H29550,285.00000000000006,0.28500000000000003
Machine_L47317,260.0,0.26
Machine_H29552,250.0,0.25
Machine_L47319,224.99999999999997,0.22499999999999998
Machine_L47320,214.99999999999997,0.21499999999999997
Machine_L47321,204.99999999999997,0.20499999999999996
Machine_15002,194.99999999999994,0.19499999999999995
Machine_H29557,180.00000000000006,0.18000000000000005
Machine_15004,155.00000000000003,0.15500000000000003
Machine_L47325,140.0,0.14
Machine_H29560,130.0,0.13
Machine_L47327,104.99999999999999,0.10499999999999998
Machine_15008,94.99999999999997,0.09499999999999997
Machine_L47329,79.99999999999996,0.07999999999999996
Machine_L47330,69.99999999999996,0.06999999999999995
Machine_15011,60.00000000000006,0.06000000000000006
Machine_15012,45.00000000000004,0.04500000000000004
Machine_L47333,30.00000000000003,0.03000000000000003
Machine_L47334,20.000000000000018,0.020000000000000018
Machine_15016,0.0,0.0
Machine_H29571,0.0,0.0
Machine_15018,0.0,0.0
Machine_L47339,0.0,0.0
Machine_L47340,0.0,0.0
Machine_L47341,0.0,0.0
Machine_L47342,1000.0,0.95
Machine_15023,990.0,0.95
Machine_15024,975.0,0.95
Machine_L47345,960.0,0.95
