timestamp,equipment_id,vibration,temperature,pressure,current,rpm,tool_wear,degradation_level,failure_imminent,failure_type
2020-01-01 01:00:00,Machine_14860,2.9810000000000003,308.6,155.1,42.8,1551,0,0.0,False,No Failure
2020-01-01 02:00:00,Machine_L47181,2.9819999999999998,308.7,140.8,46.3,1408,3,0.015,False,No Failure
2020-01-01 03:00:00,Machine_L47182,2.9810000000000003,308.5,149.8,49.4,1498,5,0.025,False,No Failure
2020-01-01 04:00:00,Machine_L47183,2.9819999999999998,308.6,143.3,39.5,1433,7,0.035,False,No Failure
2020-01-01 05:00:00,Machine_L47184,2.9819999999999998,308.7,140.8,40.0,1408,9,0.045,False,No Failure
2020-01-01 06:00:00,Machine_14865,2.9810000000000003,308.6,142.5,41.9,1425,11,0.055,False,No Failure
2020-01-01 07:00:00,Machine_L47186,2.9810000000000003,308.6,155.8,42.4,1558,14,0.07,False,No Failure
2020-01-01 08:00:00,Machine_L47187,2.9810000000000003,308.6,152.7,40.2,1527,16,0.08,False,No Failure
2020-01-01 09:00:00,Machine_14868,2.983,308.7,166.7,28.6,1667,18,0.09,False,No Failure
2020-01-01 10:00:00,Machine_14869,2.985,309.0,174.1,28.0,1741,21,0.105,False,No Failure
2020-01-01 11:00:00,Machine_H29424,2.984,308.9,178.2,23.9,1782,24,0.12,False,No Failure
2020-01-01 12:00:00,Machine_H29425,2.986,309.1,142.3,44.3,1423,29,0.145,False,No Failure
2020-01-01 13:00:00,Machine_14872,2.986,309.1,133.9,51.1,1339,34,0.17,False,No Failure
2020-01-01 14:00:00,Machine_14873,2.986,309.2,174.2,30.0,1742,37,0.185,False,No Failure
2020-01-01 15:00:00,Machine_L47194,2.986,309.2,203.5,19.6,2035,40,0.2,False,No Failure
2020-01-01 16:00:00,Machine_L47195,2.986,309.2,154.2,48.4,1542,42,0.21,False,No Failure
2020-01-01 17:00:00,Machine_14876,2.986,309.2,131.1,46.6,1311,44,0.22,False,No Failure
2020-01-01 18:00:00,Machine_14877,2.987,309.2,141.0,45.6,1410,47,0.235,False,No Failure
2020-01-01 19:00:00,Machine_H29432,2.988,309.2,130.6,54.5,1306,50,0.25,False,No Failure
2020-01-01 20:00:00,Machine_14879,2.989,309.3,163.2,32.5,1632,55,0.275,False,No Failure
2020-01-01 21:00:00,Machine_H29434,2.989,309.3,137.5,42.7,1375,58,0.29,False,No Failure
2020-01-01 22:00:00,Machine_L47201,2.988,309.3,145.0,44.8,1450,63,0.315,False,No Failure
2020-01-01 23:00:00,Machine_14882,2.989,309.3,158.1,30.7,1581,65,0.325,False,No Failure
2020-01-02 00:00:00,Machine_L47203,2.99,309.4,175.8,25.7,1758,68,0.34,False,No Failure
2020-01-02 01:00:00,Machine_14884,2.99,309.4,156.1,37.3,1561,70,0.35,False,No Failure
2020-01-02 02:00:00,Machine_L47205,2.99,309.5,186.1,23.3,1861,73,0.365,False,No Failure
2020-01-02 03:00:00,Machine_L47206,2.991,309.5,151.2,39.0,1512,75,0.375,False,No Failure
2020-01-02 04:00:00,Machine_H29441,2.991,309.4,181.1,24.6,1811,77,0.385,False,No Failure
2020-01-02 05:00:00,Machine_L47208,2.991,309.4,143.9,44.2,1439,82,0.41,False,No Failure
2020-01-02 06:00:00,Machine_L47209,2.99,309.4,169.3,30.1,1693,84,0.42,False,No Failure
2020-01-02 07:00:00,Machine_14890,2.991,309.5,133.9,48.2,1339,86,0.43,False,No Failure
2020-01-02 08:00:00,Machine_L47211,2.99,309.4,179.8,25.5,1798,89,0.445,False,No Failure
2020-01-02 09:00:00,Machine_L47212,2.99,309.4,141.9,48.3,1419,91,0.455,False,No Failure
2020-01-02 10:00:00,Machine_L47213,2.989,309.3,166.5,32.5,1665,93,0.465,False,No Failure
2020-01-02 11:00:00,Machine_14894,2.988,309.1,155.9,34.7,1559,95,0.475,False,No Failure
2020-01-02 12:00:00,Machine_14895,2.988,309.2,145.2,48.6,1452,98,0.49,False,No Failure
2020-01-02 13:00:00,Machine_14896,2.989,309.2,158.1,36.7,1581,101,0.505,False,No Failure
2020-01-02 14:00:00,Machine_L47217,2.988,309.1,143.9,39.2,1439,104,0.52,False,No Failure
2020-01-02 15:00:00,Machine_H29452,2.989,309.2,137.9,50.7,1379,106,0.53,False,No Failure
2020-01-02 16:00:00,Machine_L47219,2.988,309.1,135.0,52.5,1350,111,0.555,False,No Failure
2020-01-02 17:00:00,Machine_L47220,2.988,309.1,136.2,45.4,1362,113,0.565,False,No Failure
2020-01-02 18:00:00,Machine_L47221,2.988,309.1,136.8,50.8,1368,115,0.575,False,No Failure
2020-01-02 19:00:00,Machine_14902,2.988,309.1,136.8,49.1,1368,117,0.585,False,No Failure
2020-01-02 20:00:00,Machine_H29457,2.988,309.2,137.2,48.5,1372,120,0.6,False,No Failure
2020-01-02 21:00:00,Machine_14904,2.988,309.1,147.2,47.5,1472,125,0.625,False,No Failure
2020-01-02 22:00:00,Machine_L47225,2.988,309.1,148.9,49.1,1489,128,0.64,False,No Failure
2020-01-02 23:00:00,Machine_14906,2.987,309.0,184.3,25.8,1843,130,0.65,False,No Failure
2020-01-03 00:00:00,Machine_L47227,2.988,309.1,141.8,46.3,1418,133,0.665,False,No Failure
2020-01-03 01:00:00,Machine_H29462,2.988,309.2,142.5,53.9,1425,135,0.675,False,No Failure
2020-01-03 02:00:00,Machine_14909,2.989,309.2,141.2,44.1,1412,140,0.7,False,No Failure
2020-01-03 03:00:00,Machine_L47230,2.989,309.1,286.1,4.6,2861,143,0.715,True,Power Failure
2020-01-03 04:00:00,Machine_L47231,2.989,309.1,138.3,54.9,1383,145,0.725,False,No Failure
2020-01-03 05:00:00,Machine_H29466,2.988,309.0,149.7,43.8,1497,147,0.735,False,No Failure
2020-01-03 06:00:00,Machine_L47233,2.987,309.0,156.5,35.1,1565,152,0.76,False,No Failure
2020-01-03 07:00:00,Machine_L47234,2.987,309.0,169.1,30.1,1691,154,0.77,False,No Failure
2020-01-03 08:00:00,Machine_L47235,2.988,309.1,151.2,40.7,1512,156,0.78,False,No Failure
2020-01-03 09:00:00,Machine_L47236,2.988,309.1,147.7,42.4,1477,158,0.79,False,No Failure
2020-01-03 10:00:00,Machine_L47237,2.988,309.1,151.3,40.3,1513,160,0.8,False,No Failure
2020-01-03 11:00:00,Machine_14918,2.988,309.0,166.1,29.5,1661,162,0.81,False,No Failure
2020-01-03 12:00:00,Machine_L47239,2.988,309.1,137.8,54.4,1378,165,0.825,False,No Failure
